artist,date,rank,streams,title
Luke Combs,2018-01-03,179,191165,When It Rains It Pours
Khalid,2018-01-03,180,190031,Saved
Big Sean,2018-01-03,181,189979,So Good (& Metro Boomin)
Tee Grizzley,2018-01-03,182,189470,First Day Out
Michelle Williams,2018-01-03,183,189403,Tightrope
Lil Skies,2018-01-03,184,188827,Red Roses (feat. Landon Cube)
ZAYN,2018-01-03,185,187812,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)"""
Calvin Harris,2018-01-03,186,187767,Slide
Kygo,2018-01-03,187,187279,It Ain't Me (with Selena Gomez)
Thomas Rhett,2018-01-03,188,187021,Craving You
Halsey,2018-01-03,189,186492,Now Or Never
NAV,2018-01-03,190,186453,Myself
Hailee Steinfeld,2018-01-03,191,185776,Most Girls
Drake,2018-01-03,192,184482,Portland
Young Thug,2018-01-03,193,184058,pick up the phone
Lil Uzi Vert,2018-01-03,194,183877,Money Longer
21 Savage,2018-01-03,195,183266,X (feat. Future)
Chris Young,2018-01-03,196,182080,Losing Sleep
Huncho Jack,2018-01-03,197,181207,Huncho Jack
6LACK,2018-01-03,198,180717,Ex Calling
Billy Currington,2018-01-03,199,180593,Do I Make You Wanna
Brett Young,2018-01-03,200,180090,Like I Loved You
Post Malone,2018-01-04,1,1377612,rockstar
G-Eazy,2018-01-04,2,1043470,No Limit
Post Malone,2018-01-04,3,987338,I Fall Apart
Cardi B,2018-01-04,4,982444,Bartier Cardi (feat. 21 Savage)
G-Eazy,2018-01-04,5,875165,Him & I (with Halsey)
Offset,2018-01-04,6,850007,Ric Flair Drip (& Metro Boomin)
Lil Pump,2018-01-04,7,765226,Gucci Gang
Camila Cabello,2018-01-04,8,747263,Havana
Post Malone,2018-01-04,9,720189,Candy Paint
NF,2018-01-04,10,719827,Let You Down
Kodak Black,2018-01-04,11,710634,Codeine Dreaming (feat. Lil Wayne)
Kendrick Lamar,2018-01-04,12,701543,LOVE. FEAT. ZACARI.
Lil Uzi Vert,2018-01-04,13,671790,XO TOUR Llif3
Eminem,2018-01-04,14,659062,River (feat. Ed Sheeran)
Selena Gomez,2018-01-04,15,641455,Wolves
Famous Dex,2018-01-04,16,639984,Pick It Up (feat. A$AP Rocky)
21 Savage,2018-01-04,17,624508,Bank Account
Bebe Rexha,2018-01-04,18,624326,Meant to Be (feat. Florida Georgia Line)
Sam Smith,2018-01-04,19,623701,Too Good At Goodbyes
Hailee Steinfeld,2018-01-04,20,621524,"Let Me Go (with Alesso, Florida Georgia Line & watt)"
Migos,2018-01-04,21,599967,MotorSport
Ed Sheeran,2018-01-04,22,595585,Perfect
A$AP Ferg,2018-01-04,23,587249,Plain Jane
Dua Lipa,2018-01-04,24,583889,New Rules
Kendrick Lamar,2018-01-04,25,580428,HUMBLE.
Khalid,2018-01-04,26,574911,Young Dumb & Broke
Post Malone,2018-01-04,27,574453,Congratulations
Miguel,2018-01-04,28,555336,Sky Walker
Marshmello,2018-01-04,29,545079,Silence
Halsey,2018-01-04,30,543231,Bad At Love
Maroon 5,2018-01-04,31,538606,What Lovers Do (feat. SZA)
Logic,2018-01-04,32,537815,1-800-273-8255
Camila Cabello,2018-01-04,33,529846,Never Be the Same
Lil Xan,2018-01-04,34,522908,Betrayed
Bruno Mars,2018-01-04,35,516681,Finesse (Remix) [feat. Cardi B]
Cardi B,2018-01-04,36,510791,Bodak Yellow
Demi Lovato,2018-01-04,37,504042,Tell Me You Love Me
Gucci Mane,2018-01-04,38,491627,I Get The Bag (feat. Migos)
Travis Scott,2018-01-04,39,462603,Butterfly Effect
Imagine Dragons,2018-01-04,40,461028,Thunder
Travis Scott,2018-01-04,41,460087,goosebumps
Khalid,2018-01-04,42,449347,Location
Taylor Swift,2018-01-04,43,436042,End Game
Migos,2018-01-04,44,435170,Stir Fry
French Montana,2018-01-04,45,431759,Unforgettable
Ed Sheeran,2018-01-04,46,428312,Perfect Duet (Ed Sheeran & Beyoncé)
Demi Lovato,2018-01-04,47,427506,Sorry Not Sorry
Kodak Black,2018-01-04,48,423807,Roll In Peace (feat. XXXTENTACION)
Lil Uzi Vert,2018-01-04,49,415247,The Way Life Goes (feat. Oh Wonder)
NAV,2018-01-04,50,387578,Wanted You (feat. Lil Uzi Vert)
XXXTENTACION,2018-01-04,51,385755,Jocelyn Flores
Huncho Jack,2018-01-04,52,374822,Saint
Dua Lipa,2018-01-04,53,373669,IDGAF
Ed Sheeran,2018-01-04,54,366680,Shape of You
Charlie Puth,2018-01-04,55,366558,How Long
XXXTENTACION,2018-01-04,56,365739,Fuck Love (feat. Trippie Redd)
Migos,2018-01-04,57,355517,Slippery (feat. Gucci Mane)
21 Savage,2018-01-04,58,354135,Ghostface Killers
Camila Cabello,2018-01-04,59,350302,Real Friends
A Boogie Wit da Hoodie,2018-01-04,60,345569,Drowning (feat. Kodak Black)
YBN Nahmir,2018-01-04,61,344907,Rubbin Off The Paint
BTS,2018-01-04,62,335484,MIC Drop (feat. Desiigner) [Steve Aoki Remix]
Machine Gun Kelly,2018-01-04,63,333791,"Home (with Machine Gun Kelly, X Ambassadors & Bebe Rexha)"
Huncho Jack,2018-01-04,64,332808,Dubai Shit
Portugal. The Man,2018-01-04,65,331010,Feel It Still
Kendrick Lamar,2018-01-04,66,330745,DNA.
Zac Efron,2018-01-04,67,329926,Rewrite The Stars
6ix9ine,2018-01-04,68,326928,GUMMO
Imagine Dragons,2018-01-04,69,324955,Believer
Post Malone,2018-01-04,70,324116,Go Flex
Clean Bandit,2018-01-04,71,323801,I Miss You (feat. Julia Michaels)
G-Eazy,2018-01-04,72,314422,Sober
Sam Hunt,2018-01-04,73,309170,Body Like A Back Road
Luis Fonsi,2018-01-04,74,305268,Échame La Culpa
Big Sean,2018-01-04,75,295982,Go Legend (& Metro Boomin)
Playboi Carti,2018-01-04,76,295183,Magnolia
Keala Settle,2018-01-04,77,294391,This Is Me
Hugh Jackman,2018-01-04,78,293786,The Greatest Show
Childish Gambino,2018-01-04,79,293493,Redbone
SZA,2018-01-04,80,289684,Love Galore
Yo Gotti,2018-01-04,81,285752,Rake It Up
Taylor Swift,2018-01-04,82,285359,Delicate
Lil Skies,2018-01-04,83,283363,Nowadays (feat. Landon Cube)
Maroon 5,2018-01-04,84,282925,Wait
Post Malone,2018-01-04,85,281994,White Iverson
Lil Pump,2018-01-04,86,281544,Designer
A$AP Ferg,2018-01-04,87,279959,Plain Jane REMIX
Charlie Puth,2018-01-04,88,278148,Attention
Future,2018-01-04,89,277658,Mask Off
Loren Allred,2018-01-04,90,277539,Never Enough
Martin Garrix,2018-01-04,91,275206,So Far Away
Russ,2018-01-04,92,272746,Losin Control
Rich The Kid,2018-01-04,93,270503,New Freezer (feat. Kendrick Lamar)
Luis Fonsi,2018-01-04,94,270045,Despacito - Remix
Ziv Zaifman,2018-01-04,95,268553,A Million Dreams
Bruno Mars,2018-01-04,96,267746,That's What I Like
KYLE,2018-01-04,97,264259,iSpy (feat. Lil Yachty)
James Arthur,2018-01-04,98,263874,Say You Won't Let Go
Bad Bunny,2018-01-04,99,263322,Sensualidad
Quality Control,2018-01-04,100,262755,Ice Tray
SZA,2018-01-04,101,261164,The Weekend
Young Thug,2018-01-04,102,260832,Relationship (feat. Future)
Lil Uzi Vert,2018-01-04,103,260291,Sauce It Up
Kane Brown,2018-01-04,104,259041,What Ifs
Camila Cabello,2018-01-04,105,258767,Havana - Remix
Hugh Jackman,2018-01-04,106,254663,The Other Side
J Balvin,2018-01-04,107,254429,Mi Gente
SZA,2018-01-04,108,254260,The Weekend - Funk Wav Remix
Migos,2018-01-04,109,253745,Bad and Boujee (feat. Lil Uzi Vert)
DJ Khaled,2018-01-04,110,253709,I'm the One
Taylor Swift,2018-01-04,111,252661,Look What You Made Me Do
ZAYN,2018-01-04,112,249645,Dusk Till Dawn - Radio Edit
Jason Derulo,2018-01-04,113,249492,Tip Toe (feat. French Montana)
Big Shaq,2018-01-04,114,249391,Man's Not Hot
Big Sean,2018-01-04,115,249113,Bounce Back
Thomas Rhett,2018-01-04,116,247199,Marry Me
2 Chainz,2018-01-04,117,246522,It's A Vibe
Liam Payne,2018-01-04,118,244865,Strip That Down
blackbear,2018-01-04,119,240825,do re mi
Drake,2018-01-04,120,237922,Passionfruit
Huncho Jack,2018-01-04,121,237441,Modern Slavery
Trippie Redd,2018-01-04,122,236894,Dark Knight Dummo (Feat. Travis Scott)
Kodak Black,2018-01-04,123,236589,Transportin'
Lauv,2018-01-04,124,236101,I Like Me Better
Taylor Swift,2018-01-04,125,234386,...Ready For It?
Kodak Black,2018-01-04,126,232329,Tunnel Vision
Maluma,2018-01-04,127,232093,Corazón
GoldLink,2018-01-04,128,228626,Crew
XXXTENTACION,2018-01-04,129,228070,Everybody Dies In Their Nightmares
The Chainsmokers,2018-01-04,130,227678,Something Just Like This
Tay-K,2018-01-04,131,227156,The Race
Kendrick Lamar,2018-01-04,132,225982,LOYALTY. FEAT. RIHANNA.
Huncho Jack,2018-01-04,133,224056,Black & Chinese
The Chainsmokers,2018-01-04,134,223545,Closer
J. Cole,2018-01-04,135,223435,No Role Modelz
Jaden Smith,2018-01-04,136,223020,Icon
Thomas Rhett,2018-01-04,137,222402,Unforgettable
XXXTENTACION,2018-01-04,138,219428,Look At Me!
Playboi Carti,2018-01-04,139,218548,wokeuplikethis*
Ozuna,2018-01-04,140,216787,La Modelo
Niall Horan,2018-01-04,141,214132,Slow Hands
Kendrick Lamar,2018-01-04,142,212913,All The Stars (with SZA)
Drake,2018-01-04,143,212637,Fake Love
Chris Brown,2018-01-04,144,212028,Pills & Automobiles
Shawn Mendes,2018-01-04,145,211570,There's Nothing Holdin' Me Back
Hugh Jackman,2018-01-04,146,210695,Come Alive
Brett Young,2018-01-04,147,210308,In Case You Didn't Know
Migos,2018-01-04,148,209629,T-Shirt
The Weeknd,2018-01-04,149,208878,Starboy
DJ Khaled,2018-01-04,150,208836,Wild Thoughts
LANCO,2018-01-04,151,208518,Greatest Love Story
Travis Scott,2018-01-04,152,208140,beibs in the trap
Alan Walker,2018-01-04,153,204821,All Falls Down
Trippie Redd,2018-01-04,154,204629,Love Scars
Kesha,2018-01-04,155,203033,Praying
Lil Uzi Vert,2018-01-04,156,202838,The Way Life Goes (feat. Nicki Minaj & Oh Wonder) - Remix
Trouble,2018-01-04,157,201827,Bring It Back (with Drake & Mike WiLL Made-It)
Matt Terry,2018-01-04,158,201773,Sucker for You
Hugh Jackman,2018-01-04,159,201160,From Now On
Aminé,2018-01-04,160,199298,Caroline
6LACK,2018-01-04,161,198358,PRBLMS
Zedd,2018-01-04,162,196977,Stay
Julia Michaels,2018-01-04,163,196970,Issues
6ix9ine,2018-01-04,164,196759,KOODA
Russell Dickerson,2018-01-04,165,195069,Yours
Post Malone,2018-01-04,166,194884,No Option
Walker Hayes,2018-01-04,167,194068,You Broke Up with Me
Macklemore,2018-01-04,168,192666,Glorious (feat. Skylar Grey)
Huncho Jack,2018-01-04,169,192394,Eye 2 Eye
Bryson Tiller,2018-01-04,170,191922,Don't
Tee Grizzley,2018-01-04,171,191298,First Day Out
DRAM,2018-01-04,172,191010,Broccoli (feat. Lil Yachty)
N.E.R.D,2018-01-04,173,190669,Lemon
Chris Lane,2018-01-04,174,190312,Take Back Home Girl (Feat. Tori Kelly)
Bryson Tiller,2018-01-04,175,190305,Exchange
Drake,2018-01-04,176,189954,One Dance
Ozuna,2018-01-04,177,189316,Se Preparó
Jon Pardi,2018-01-04,178,188701,Heartache On The Dance Floor
Luke Combs,2018-01-04,179,187187,When It Rains It Pours
Lil Skies,2018-01-04,180,187080,Red Roses (feat. Landon Cube)
Thomas Rhett,2018-01-04,181,186010,Craving You
ZAYN,2018-01-04,182,185731,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)"""
Huncho Jack,2018-01-04,183,185381,Motorcycle Patches
Khalid,2018-01-04,184,184825,Saved
Lil Uzi Vert,2018-01-04,185,183774,Money Longer
Lil Uzi Vert,2018-01-04,186,183647,20 Min
Michelle Williams,2018-01-04,187,183521,Tightrope
Young Thug,2018-01-04,188,183058,pick up the phone
Drake,2018-01-04,189,182265,Portland
NAV,2018-01-04,190,181786,Myself
The Weeknd,2018-01-04,191,181360,Die For You
21 Savage,2018-01-04,192,181215,X (feat. Future)
Halsey,2018-01-04,193,181120,Now Or Never
Rita Ora,2018-01-04,194,179097,Anywhere
Hailee Steinfeld,2018-01-04,195,178889,Most Girls
6LACK,2018-01-04,196,178374,Ex Calling
Kygo,2018-01-04,197,178184,It Ain't Me (with Selena Gomez)
Big Sean,2018-01-04,198,177276,So Good (& Metro Boomin)
Kane Brown,2018-01-04,199,176724,Heaven
Billy Currington,2018-01-04,200,176470,Do I Make You Wanna
Post Malone,2018-01-05,1,1424822,rockstar
Bruno Mars,2018-01-05,2,1153002,Finesse (Remix) [feat. Cardi B]
G-Eazy,2018-01-05,3,1092255,No Limit
Cardi B,2018-01-05,4,1040641,Bartier Cardi (feat. 21 Savage)
Post Malone,2018-01-05,5,1019238,I Fall Apart
Kendrick Lamar,2018-01-05,6,1011488,All The Stars (with SZA)
Justin Timberlake,2018-01-05,7,984283,Filthy
Offset,2018-01-05,8,895608,Ric Flair Drip (& Metro Boomin)
G-Eazy,2018-01-05,9,884337,Him & I (with Halsey)
Camila Cabello,2018-01-05,10,776759,Havana
Lil Pump,2018-01-05,11,763360,Gucci Gang
Kendrick Lamar,2018-01-05,12,758578,LOVE. FEAT. ZACARI.
NF,2018-01-05,13,747945,Let You Down
Post Malone,2018-01-05,14,746578,Candy Paint
Kodak Black,2018-01-05,15,739731,Codeine Dreaming (feat. Lil Wayne)
Eminem,2018-01-05,16,701302,River (feat. Ed Sheeran)
Lil Uzi Vert,2018-01-05,17,694844,XO TOUR Llif3
Famous Dex,2018-01-05,18,669868,Pick It Up (feat. A$AP Rocky)
Selena Gomez,2018-01-05,19,661760,Wolves
Hailee Steinfeld,2018-01-05,20,652373,"Let Me Go (with Alesso, Florida Georgia Line & watt)"
21 Savage,2018-01-05,21,650512,Bank Account
Bebe Rexha,2018-01-05,22,646130,Meant to Be (feat. Florida Georgia Line)
Sam Smith,2018-01-05,23,640309,Too Good At Goodbyes
Migos,2018-01-05,24,637305,MotorSport
Dua Lipa,2018-01-05,25,621239,New Rules
A$AP Ferg,2018-01-05,26,620136,Plain Jane
Ed Sheeran,2018-01-05,27,611268,Perfect
Kendrick Lamar,2018-01-05,28,605910,HUMBLE.
Post Malone,2018-01-05,29,597460,Congratulations
Khalid,2018-01-05,30,591987,Young Dumb & Broke
Miguel,2018-01-05,31,580551,Sky Walker
Marshmello,2018-01-05,32,576757,Silence
Maroon 5,2018-01-05,33,570677,What Lovers Do (feat. SZA)
Halsey,2018-01-05,34,557118,Bad At Love
Logic,2018-01-05,35,556239,1-800-273-8255
Demi Lovato,2018-01-05,36,539772,Tell Me You Love Me
Cardi B,2018-01-05,37,539574,Bodak Yellow
Lil Xan,2018-01-05,38,537960,Betrayed
Gucci Mane,2018-01-05,39,514767,I Get The Bag (feat. Migos)
Camila Cabello,2018-01-05,40,503365,Never Be the Same
Lil Pump,2018-01-05,41,502802,Designer
Travis Scott,2018-01-05,42,484654,Butterfly Effect
Migos,2018-01-05,43,480655,Stir Fry
Travis Scott,2018-01-05,44,478460,goosebumps
Imagine Dragons,2018-01-05,45,474956,Thunder
French Montana,2018-01-05,46,465604,Unforgettable
Khalid,2018-01-05,47,458299,Location
Kodak Black,2018-01-05,48,451753,Roll In Peace (feat. XXXTENTACION)
Demi Lovato,2018-01-05,49,448551,Sorry Not Sorry
Taylor Swift,2018-01-05,50,448513,End Game
Lil Uzi Vert,2018-01-05,51,439765,The Way Life Goes (feat. Oh Wonder)
Ed Sheeran,2018-01-05,52,433253,Perfect Duet (Ed Sheeran & Beyoncé)
NAV,2018-01-05,53,410165,Wanted You (feat. Lil Uzi Vert)
XXXTENTACION,2018-01-05,54,397531,Jocelyn Flores
Huncho Jack,2018-01-05,55,393966,Saint
XXXTENTACION,2018-01-05,56,382416,Fuck Love (feat. Trippie Redd)
Charlie Puth,2018-01-05,57,381266,How Long
Dua Lipa,2018-01-05,58,380752,IDGAF
21 Savage,2018-01-05,59,372461,Ghostface Killers
Migos,2018-01-05,60,369797,Slippery (feat. Gucci Mane)
Ed Sheeran,2018-01-05,61,362473,Shape of You
A Boogie Wit da Hoodie,2018-01-05,62,360653,Drowning (feat. Kodak Black)
YBN Nahmir,2018-01-05,63,358774,Rubbin Off The Paint
Kendrick Lamar,2018-01-05,64,345700,DNA.
6ix9ine,2018-01-05,65,345661,GUMMO
Huncho Jack,2018-01-05,66,341438,Dubai Shit
Camila Cabello,2018-01-05,67,340757,Real Friends
Zac Efron,2018-01-05,68,337981,Rewrite The Stars
Portugal. The Man,2018-01-05,69,337407,Feel It Still
Clean Bandit,2018-01-05,70,336163,I Miss You (feat. Julia Michaels)
Liam Payne,2018-01-05,71,335760,For You (Fifty Shades Freed) (& Rita Ora)
Post Malone,2018-01-05,72,335096,Go Flex
Imagine Dragons,2018-01-05,73,332716,Believer
Machine Gun Kelly,2018-01-05,74,329373,"Home (with Machine Gun Kelly, X Ambassadors & Bebe Rexha)"
Luis Fonsi,2018-01-05,75,328112,Échame La Culpa
G-Eazy,2018-01-05,76,325262,Sober
Sam Hunt,2018-01-05,77,324255,Body Like A Back Road
Big Sean,2018-01-05,78,315645,Go Legend (& Metro Boomin)
BTS,2018-01-05,79,314821,MIC Drop (feat. Desiigner) [Steve Aoki Remix]
Lil Skies,2018-01-05,80,308303,Nowadays (feat. Landon Cube)
A$AP Ferg,2018-01-05,81,306139,Plain Jane REMIX
Yo Gotti,2018-01-05,82,304655,Rake It Up
Keala Settle,2018-01-05,83,302535,This Is Me
Maroon 5,2018-01-05,84,302352,Wait
Playboi Carti,2018-01-05,85,301593,Magnolia
Childish Gambino,2018-01-05,86,301403,Redbone
SZA,2018-01-05,87,301249,Love Galore
Hugh Jackman,2018-01-05,88,301207,The Greatest Show
Charlie Puth,2018-01-05,89,294939,Attention
Post Malone,2018-01-05,90,292223,White Iverson
Bruno Mars,2018-01-05,91,288742,That's What I Like
Future,2018-01-05,92,286246,Mask Off
Taylor Swift,2018-01-05,93,286168,Delicate
Rich The Kid,2018-01-05,94,283627,New Freezer (feat. Kendrick Lamar)
